"Quarter","StNo","HaulNo","Year","kategori","gruppnamn","lat_start_dec","long_start_dec","lat_stop_dec","long_stop_dec","djup","swept_area_km2","BALSE_area","sup_fishery_other","no_litter_per_km2","weight_litter_per_km2_kg","gruppnamn_ny"
4,24,13,2012,"D6_Övrig gummi","D_Gummi",57.1533,18.7988,57.1772,18.8083,38,0.073611750541,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",13.5847876548327,0.35320447902565,"Gummi"
4,24,13,2012,"A3_Plastpåse","A_Plast",57.1533,18.7988,57.1772,18.8083,38,0.073611750541,"BAL-SE-AA-B_O_Gotlandshavet","SUP",13.5847876548327,0.0543391506193307,"Plast"
4,24,13,2012,"A2_Plastbit_stycke","A_Plast",57.1533,18.7988,57.1772,18.8083,38,0.073611750541,"BAL-SE-AA-B_O_Gotlandshavet","OTHER",27.1695753096654,0.108678301238661,"Plast"
4,30,15,2012,"N_Inget","N_Inget",57.6718,19.066,57.6932,19.0912,34,0.078414065617,"BAL-SE-AA-B_O_Gotlandshavet","Inget",0,0,"Inget"
4,32,16,2012,"N_Inget","N_Inget",57.8755,19.42,57.8923,19.4258,46,0.050115854268,"BAL-SE-AA-B_O_Gotlandshavet","Inget",0,0,"Inget"
4,34,18,2012,"F5_Övrigt naturmaterial","F_Naturmaterial",58.3015,19.1787,58.2775,19.1847,52,0.061866680302,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",48.4913686229099,0.775861897966558,"Naturmaterial"
4,34,18,2012,"F1_Trälaminat, spånskiva","F_Naturmaterial",58.3015,19.1787,58.2775,19.1847,52,0.061866680302,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",48.4913686229099,0.969827372458198,"Naturmaterial"
4,34,18,2012,"A2_Plastbit_stycke","A_Plast",58.3015,19.1787,58.2775,19.1847,52,0.061866680302,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",16.16378954097,0.0323275790819399,"Plast"
4,43,22,2012,"F5_Övrigt naturmaterial","F_Naturmaterial",57.3628,16.9202,57.3798,16.8907,42,0.067041448551,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",14.9161454833315,0.29832290966663,"Naturmaterial"
4,45,23,2012,"E2_Glasflaska","E_Glas",57.422,17.0192,57.4443,16.9985,55,0.074095154959,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",40.4884773054328,7.12597200575618,"Glas"
4,45,23,2012,"F5_Övrigt naturmaterial","F_Naturmaterial",57.422,17.0192,57.4443,16.9985,55,0.074095154959,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",40.4884773054328,2.45630095652959,"Naturmaterial"
4,45,23,2012,"D6_Övrig gummi","D_Gummi",57.422,17.0192,57.4443,16.9985,55,0.074095154959,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",13.4961591018109,0.0539846364072438,"Gummi"
4,46,24,2012,"F5_Övrigt naturmaterial","F_Naturmaterial",56.9707,17.1892,56.9467,17.1797,70,0.078460278031,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",152.943633404648,9.02367437087422,"Naturmaterial"
4,46,24,2012,"A2_Plastbit_stycke","A_Plast",56.9707,17.1892,56.9467,17.1797,70,0.078460278031,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",12.7453027837206,0.0764718167023239,"Plast"
4,46,24,2012,"G2_Skor","G_Diverse",56.9707,17.1892,56.9467,17.1797,70,0.078460278031,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",12.7453027837206,6.65304805310218,"Diverse"
4,59,30,2012,"A2_Plastbit_stycke","A_Plast",55.7077,14.3802,55.7132,14.4153,34,0.053577045891,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",18.6647095480862,0.0186647095480862,"Plast"
1,1,1,2013,"N_Inget","N_Inget",55.675,14.4852,55.661,14.5218,50,0.087922862904,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","Inget",0,0,"Inget"
1,3,2,2013,"D5_Handskar_gummi","D_Gummi",55.6995,14.5377,55.6843,14.503,47,0.082229100809,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",12.1611447791796,0.681024107634055,"Gummi"
1,3,2,2013,"E3_Glasbit","E_Glas",55.6995,14.5377,55.6843,14.503,47,0.082229100809,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",364.834343375387,3.04028619479489,"Glas"
1,3,2,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",55.6995,14.5377,55.6843,14.503,47,0.082229100809,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",243.222895583591,29.0651360222391,"Naturmaterial"
1,3,2,2013,"D6_Övrig gummi","D_Gummi",55.6995,14.5377,55.6843,14.503,47,0.082229100809,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",60.8057238958978,1.33772592570975,"Gummi"
1,3,2,2013,"A12_Övrig plast","A_Plast",55.6995,14.5377,55.6843,14.503,47,0.082229100809,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",12.1611447791796,0.121611447791796,"Plast"
1,4,3,2013,"E2_Glasflaska","E_Glas",55.7028,14.3718,55.7088,14.4152,38,0.074291077842,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",13.4605665854892,6.32646629517991,"Glas"
1,4,3,2013,"G1_Kläder_trasor","G_Diverse",55.7028,14.3718,55.7088,14.4152,38,0.074291077842,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",13.4605665854892,7.13410029030926,"Diverse"
1,6,4,2013,"N_Inget","N_Inget",55.8058,15.287,55.8213,15.3207,55,0.089358860864,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","Inget",0,0,"Inget"
1,9,5,2013,"G3_Övrigt_diverse","G_Diverse",56.4312,16.7587,56.4535,16.7797,61,0.095724109701,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",10.4466889597987,16.192367887688,"Diverse"
1,9,5,2013,"C1_Konservburkar_metall (mat)","C_Metall",56.4312,16.7587,56.4535,16.7797,61,0.095724109701,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",10.4466889597987,0.25072053503517,"Metall"
1,11,6,2013,"F5_Övrigt naturmaterial","F_Naturmaterial",56.5415,16.9175,56.566,16.915,73,0.088965420926,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",337.209667393734,16.8604833696867,"Naturmaterial"
1,11,6,2013,"G3_Övrigt_diverse","G_Diverse",56.5415,16.9175,56.566,16.915,73,0.088965420926,"BAL-SE-AA-B_V_Gotlandshavet","OTHER",11.2403222464578,22.4806444929156,"Diverse"
