"Quarter","StNo","HaulNo","Year","kategori","gruppnamn","lat_start_dec","long_start_dec","lat_stop_dec","long_stop_dec","swept_area_km2","ANSSE_area","trend_area","sup_fishery_other","no_litter_per_km2","weight_litter_per_km2_kg","gruppnamn_ny"
3,102,37,2019,"A5_Monofilament","A_Plast",56.5465,12.5497,56.5577,12.601,0.066304173536344,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",15.0820068581635,0.0150820068581635,"Plast"
3,106,38,2019,"N_Inget","N_Inget",56.6238,11.8298,56.5933,11.823,0.0702893752153754,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,107,39,2019,"A5_Monofilament","A_Plast",56.7872,11.8775,56.8025,11.8283,0.0681177196523481,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",58.7218717892315,0.0146804679473079,"Plast"
3,11,1,2019,"N_Inget","N_Inget",58.056,11.0818,58.0863,11.0662,0.0836727214895343,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,110,40,2019,"A5_Monofilament","A_Plast",56.9285,11.6893,56.9548,11.6608,0.0695750364159545,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",28.7459425539212,0.0143729712769606,"Plast"
3,112,41,2019,"A5_Monofilament","A_Plast",57.1385,11.8563,57.1102,11.8343,0.0716906350686122,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",27.8976465766537,0.0139488232883269,"Plast"
3,113,42,2019,"A5_Monofilament","A_Plast",57.1893,11.6603,57.2202,11.6595,0.0698669488918314,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",14.3129192824523,0.0143129192824523,"Plast"
3,116,43,2019,"N_Inget","N_Inget",57.1567,11.4518,57.1872,11.4435,0.0666543716360078,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,118,44,2019,"N_Inget","N_Inget",57.3147,11.5758,57.345,11.5855,0.0659086731927595,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,119,45,2019,"A3_Plastpåse","A_Plast",57.5332,11.1265,57.5503,11.1747,0.0654381136298345,"utanför ANSSE-area","Utanför ANSSE-area","SUP",15.2816141011755,0.427885194832913,"Plast"
3,121,46,2019,"A5_Monofilament","A_Plast",57.5308,11.0053,57.544,11.0553,0.0662741912285629,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",15.0888299270413,0.0150888299270413,"Plast"
3,123,47,2019,"A5_Monofilament","A_Plast",57.6008,10.714,57.6265,10.7458,0.0673742232853167,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",14.8424716640546,0.0148424716640546,"Plast"
3,126,48,2019,"A5_Monofilament","A_Plast",58.0918,10.8615,58.123,10.8612,0.0795995628043978,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","FISHERY",12.5628830708195,0.0125628830708195,"Plast"
3,13,3,2019,"A6_Monofilament (härva)","A_Plast",58.6372,10.8385,58.6667,10.8208,0.0761395271649772,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","FISHERY",13.1337826387236,0.591020218742561,"Plast"
3,13,3,2019,"C3_Bobbins ","C_Gummi",58.6372,10.8385,58.6667,10.8208,0.0761395271649772,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","FISHERY",13.1337826387236,3.80879696522984,"Gummi"
3,13,3,2019,"A3_Plastpåse","A_Plast",58.6372,10.8385,58.6667,10.8208,0.0761395271649772,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","SUP",13.1337826387236,0.302077000690642,"Plast"
3,15,4,2019,"N_Inget","N_Inget",58.806,10.1543,58.7768,10.1395,0.0807925413985892,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,31,5,2019,"A3_Plastpåse","A_Plast",58.1207,10.3725,58.1268,10.3153,0.0779723223441025,"utanför ANSSE-area","Utanför ANSSE-area","SUP",25.6501273769136,1.01318003138809,"Plast"
3,33,6,2019,"N_Inget","N_Inget",57.8663,10.2872,57.8838,10.2385,0.0782038274694744,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,34,7,2019,"A5_Monofilament","A_Plast",58.0652,9.9065,58.0843,9.9452,0.0680420866698996,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",14.6967861942773,0.0146967861942773,"Plast"
3,35,8,2019,"N_Inget","N_Inget",58.036,9.6867,58.0235,9.6323,0.082341186279698,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,45,9,2019,"A5_Monofilament","A_Plast",57.7023,10.7997,57.676,10.7727,0.0651968749125107,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",15.3381584829323,0.0153381584829323,"Plast"
